Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Self_Employed_No,Self_Employed_Yes,Education_Graduate,Education_Not Graduate,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Credit_History,ApplicantIncome,LoanAmount,Loan_Amount_Term,CoapplicantIncome,Loan_Status
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0.07299082285068836,-0.11775549033263544,0.2791789776634758,-0.5544867436156191,Y
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,-0.13441195378345122,-0.2129678308287514,0.2791789776634758,-0.03873103083355891,N
0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,-0.3937473372051281,-0.9508634696736501,0.2791789776634758,-0.5544867436156191,Y
0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,-0.4620624697931504,-0.30818017132486736,0.2791789776634758,0.25198008048258913,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0.09772843680942066,-0.05824777752256296,0.2791789776634758,-0.5544867436156191,Y
0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0.0022183113925933404,1.4413465852912635,0.2791789776634758,0.8806001070697421,Y
0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,-0.5030187842943628,-0.6057187353752298,0.2791789776634758,-0.03599492625646575,Y
0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,-0.38784962791695354,0.14407844603168346,0.2791789776634758,0.30191398901453925,N
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,-0.22893912765224944,0.2630938716518284,0.2791789776634758,-0.0325747955350993,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1.2184570268205968,2.417273075376452,0.2791789776634758,3.1967126315791003,N
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,-0.3609822856041582,-0.9032572994255922,0.2791789776634758,-0.31507759311996786,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,-0.4756599662075529,-0.43909713950702683,0.2791789776634758,0.07481730911580714,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,-0.38178809337077413,0.6439432336362922,0.2791789776634758,2.217871219124023,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,-0.5816549081366906,-0.37958942669695434,0.2791789776634758,0.41683038125245186,N
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,-0.6724141010713773,-1.5340390552123604,-3.4472534633229217,-0.18306054727522297,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,-0.07428808409567142,-0.2486724585147949,0.2791789776634758,-0.5544867436156191,Y
0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,-0.29610748343423776,-0.5462110225651573,-1.5840372428297231,-0.5544867436156191,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.31019645562265485,-0.8318480440535052,0.2791789776634758,-0.5544867436156191,N
0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,-0.08460907534997694,-0.15346011801867893,0.2791789776634758,-0.5544867436156191,N
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,-0.45927744040706797,-0.36768788413493986,-0.49716111420869036,0.6425590088626374,Y
0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0.369678365097471,-0.4986048523170993,0.2791789776634758,-0.5544867436156191,N
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0.09035630019920242,2.0126206282679595,0.2791789776634758,1.3693367871530076,Y
0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,-0.45927744040706797,-0.3557863415729254,0.2791789776634758,0.09910023723750892,N
0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,-0.33395111803335803,-0.40339251182098335,0.2791789776634758,0.10115231567032879,N
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,-0.27628462721565095,0.060767648097582,0.2791789776634758,0.4459014923840667,N
0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0.6809463553066852,0.5368293505781618,0.2791789776634758,-0.5544867436156191,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,-0.4266762140641029,-0.2843770862008384,0.2791789776634758,0.21606870790824143,Y
