Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Self_Employed_No,Self_Employed_Yes,Education_Graduate,Education_Not Graduate,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,CoapplicantIncome,Loan_Status
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,5849,136,360,1,0,Y
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,4583,128,360,1,1508,N
0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,3000,66,360,1,0,Y
0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,2583,120,360,1,2358,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,6000,141,360,1,0,Y
0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,5417,267,360,1,4196,Y
0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,2333,95,360,1,1516,Y
0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,3036,158,360,0,2504,N
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,4006,168,360,1,1526,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,12841,349,360,1,10968,N
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,3200,70,360,1,700,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,2500,109,360,1,1840,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,3073,200,360,1,8106,Y
0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1853,114,360,1,2840,N
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1299,17,120,1,1086,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,4950,125,360,1,0,Y
0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,3596,100,240,0,0,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,3510,76,360,0,0,N
0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,4887,133,360,1,0,N
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,2600,115,310,1,3500,Y
0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,7660,104,360,0,0,N
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,5955,315,360,1,5625,Y
0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,2600,116,360,0,1911,N
0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,3365,112,360,0,1917,N
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,3717,151,360,0,2925,N
0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,9560,191,360,1,0,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2799,122,360,1,2253,Y
0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,4226,110,360,1,1040,Y
0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1442,35,360,1,0,N
1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,3750,120,360,1,2083,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,4166,201,360,0,3369,N
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,3167,74,360,1,0,N
0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,4692,106,360,1,0,N
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3500,114,360,1,1667,Y
0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,12500,320,360,1,3000,N
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,2275,136,360,1,2067,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1828,100,360,0,1330,N
1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,3667,144,360,1,1459,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,4166,184,360,1,7210,Y
0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,3748,110,360,1,1668,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,3600,80,360,1,0,N
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1800,47,360,1,1213,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,2400,75,360,0,0,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3941,134,360,1,2336,Y
0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,4695,96,380,1,0,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,3410,88,360,1,0,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,5649,44,360,1,0,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,5821,144,360,1,0,Y
1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,2645,120,360,0,3440,N
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4000,144,360,1,2275,Y
1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1928,100,360,1,1644,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,3086,120,360,1,0,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4230,112,360,1,0,N
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,4616,134,360,1,0,N
1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,11500,286,360,0,0,N
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,2708,97,360,1,1167,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2132,96,360,1,1591,Y
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3366,135,360,1,2200,N
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,8080,180,360,1,2250,Y
0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,3357,144,360,1,2859,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,2500,120,360,1,3796,Y
0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,3029,99,360,1,0,Y
0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,2609,165,180,0,3449,N
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,4945,126,360,0,0,N
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4166,116,360,0,0,N
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,5726,258,360,1,4595,N
0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,3200,126,180,0,2254,N
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,10750,312,360,1,0,Y
0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,7100,125,60,1,0,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4300,136,360,0,0,N
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,3208,172,360,1,3066,Y
0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1875,97,360,1,1875,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,3500,81,300,1,0,Y
0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,4755,95,350,0,0,N
0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,5266,187,360,1,1774,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,3750,113,480,1,0,N
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,3750,176,360,1,4750,N
0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1000,110,360,1,3022,N
0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,3167,180,300,0,4000,N
0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,3333,130,360,0,2166,Y
1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,3846,111,360,1,0,Y
0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,2395,136,360,1,0,Y
1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1378,167,360,1,1881,N
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,6000,265,360,0,2250,N
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,3988,50,240,1,0,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2366,136,360,1,2531,Y
0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,3333,99,360,0,2000,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2500,104,360,1,2118,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,8566,210,360,1,0,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,5695,175,360,1,4167,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2958,131,360,1,2900,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,6250,188,180,1,5654,Y
0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,3273,81,360,1,1820,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,4133,122,360,1,0,Y
0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,3620,25,120,1,0,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,6782,136,360,1,0,N
1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,2484,137,360,1,2302,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1977,50,360,1,997,Y
0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,4188,115,180,1,0,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1759,131,360,1,3541,Y
0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,4288,133,180,1,3263,Y
0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,4843,151,360,1,3806,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,13650,136,360,1,0,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,4652,136,360,1,3583,Y
0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,3816,160,360,1,754,Y
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,3052,100,360,1,1030,Y
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,11417,225,360,1,1126,Y
0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,7333,120,360,1,0,N
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,3800,216,360,0,3600,N
